x,R,Tg w/CO3,Tg CO3 free,,,,,,Sodium Borate Experimental Values,,,,,
0.059266228,0.063,578.73238,578.73238,,,,,,,,,,,
0.060150376,0.064,579.4741144,579.4741144,,,,,,,,,,,
0.061032864,0.065,580.2163543,580.2163543,,,,,,,,,,,
0.061913696,0.066,580.9591002,580.9591002,,,,,,,,,,,
0.062792877,0.067,581.7023525,581.7023525,,,,,,,,,,,
0.063670412,0.068,582.4461119,582.4461119,,,,,,,,,,,
0.064546305,0.069,583.1903787,583.1903787,,,,,,,,,,,
0.065420561,0.07,583.9351536,583.9351536,,,,,,,,,,,
0.066293184,0.071,584.680437,584.680437,,,,,,,,,,,
0.067164179,0.072,585.4262295,585.4262295,,,,,,,,,,,
0.068033551,0.073,586.1725316,586.1725316,,,,,,,,,,,
0.068901304,0.074,586.9193438,586.9193438,,,,,,,,,,,
0.069767442,0.075,587.6666667,587.6666667,,,,,,,,,,,
0.07063197,0.076,588.4145007,588.4145007,,,,,,,,,,,
0.071494893,0.077,589.1628464,589.1628464,,,,,,,,,,,
0.072356215,0.078,589.9117043,589.9117043,,,,,,,,,,,
0.073215941,0.079,590.661075,590.661075,,,,,,,,,,,
0.074074074,0.08,591.4109589,591.4109589,,,,,,,,,,,
0.07493062,0.081,592.1613566,592.1613566,,,,,,,,,,,
0.075785582,0.082,592.9122687,592.9122687,,,,,,,,,,,
0.076638966,0.083,593.6636956,593.6636956,,,,,,,,,,,
0.077490775,0.084,594.4156379,594.4156379,,,,,,,,,,,
0.078341014,0.085,595.1680961,595.1680961,,,,,,,,,,,
0.079189687,0.086,595.9210707,595.9210707,,,,,,,,,,,
0.080036799,0.087,596.6745623,596.6745623,,,,,,,,,,,
0.080882353,0.088,597.4285714,597.4285714,,,,,,,,,,,
0.081726354,0.089,598.1830986,598.1830986,,,,,,,,,,,
0.082568807,0.09,598.9381443,598.9381443,,,,,,,,,,,
0.083409716,0.091,599.6937092,599.6937092,,,,,,,,,,,
0.084249084,0.092,600.4497937,600.4497937,,,,,,,,,,,
0.085086917,0.093,601.2063983,601.2063983,,,,,,,,,,,
