x,R,Tg w/CO3,Tg CO3 free,,,,,,Sodium Borate Experimental Values,,,,,
0.279019466,0.387,768.2067891,768.2067891,,,,,,,,,,,
0.279538905,0.388,768.4944598,768.4944598,,,,,,,,,,,
0.280057595,0.389,768.7819315,768.7819315,,,,,,,,,,,
0.28057554,0.39,769.0692042,769.0692042,,,,,,,,,,,
0.281092739,0.391,769.3562781,769.3562781,,,,,,,,,,,
0.281609195,0.392,769.6431535,769.6431535,,,,,,,,,,,
0.28212491,0.393,769.9298306,769.9298306,,,,,,,,,,,
0.282639885,0.394,770.2163096,770.2163096,,,,,,,,,,,
0.283154122,0.395,770.5025907,770.5025907,,,,,,,,,,,
0.283667622,0.396,770.788674,770.788674,,,,,,,,,,,
0.284180387,0.397,771.0745599,771.0745599,,,,,,,,,,,
0.284692418,0.398,771.3602484,771.3602484,,,,,,,,,,,
0.285203717,0.399,771.6457399,771.6457399,,,,,,,,,,,
0.285714286,0.4,771.9310345,771.9310345,,,,,,,,,,,
0.286224126,0.401,771.6412915,771.6412915,,,,,,,,,,,
0.286733238,0.402,771.3519926,771.3519926,,,,,,,,,,,
0.287241625,0.403,771.0631368,771.0631368,,,,,,,,,,,
0.287749288,0.404,770.7747231,770.7747231,,,,,,,,,,,
0.288256228,0.405,770.4867505,770.4867505,,,,,,,,,,,
0.288762447,0.406,770.1992179,770.1992179,,,,,,,,,,,
0.289267946,0.407,769.9121244,769.9121244,,,,,,,,,,,
0.289772727,0.408,769.6254689,769.6254689,,,,,,,,,,,
0.290276792,0.409,769.3392505,769.3392505,,,,,,,,,,,
0.290780142,0.41,769.0534681,769.0534681,,,,,,,,,,,
0.291282778,0.411,768.7681207,768.7681207,,,,,,,,,,,
0.291784703,0.412,768.4832074,768.4832074,,,,,,,,,,,
0.292285916,0.413,768.1987272,768.1987272,,,,,,,,,,,
0.292786421,0.414,767.9146791,767.9146791,,,,,,,,,,,
0.293286219,0.415,767.631062,767.631062,,,,,,,,,,,
0.293785311,0.416,767.3478751,767.3478751,,,,,,,,,,,
0.294283698,0.417,767.0651173,767.0651173,,,,,,,,,,,
0.294781382,0.418,766.7827877,766.7827877,,,,,,,,,,,
0.295278365,0.419,766.5008853,766.5008853,,,,,,,,,,,
0.295774648,0.42,766.219409,766.219409,,,,,,,,,,,
0.296270232,0.421,765.9383581,765.9383581,,,,,,,,,,,
0.29676512,0.422,765.6577314,765.6577314,,,,,,,,,,,
0.297259311,0.423,765.3775281,765.3775281,,,,,,,,,,,
0.297752809,0.424,765.0977471,765.0977471,,,,,,,,,,,
0.298245614,0.425,764.8183876,764.8183876,,,,,,,,,,,
0.298737728,0.426,764.5394485,764.5394485,,,,,,,,,,,
0.299229152,0.427,764.260929,764.260929,,,,,,,,,,,
0.299719888,0.428,763.982828,763.982828,,,,,,,,,,,
0.300209937,0.429,763.7051447,763.7051447,,,,,,,,,,,
0.300699301,0.43,763.4278781,763.4278781,,,,,,,,,,,
0.30118798,0.431,763.1510272,763.1510272,,,,,,,,,,,
0.301675978,0.432,762.8745911,762.8745911,,,,,,,,,,,
0.302163294,0.433,762.5985689,762.5985689,,,,,,,,,,,
0.30264993,0.434,762.3229597,762.3229597,,,,,,,,,,,
0.303135889,0.435,762.0477626,762.0477626,,,,,,,,,,,
0.30362117,0.436,761.7729765,761.7729765,,,,,,,,,,,
0.304105776,0.437,761.4986006,761.4986006,,,,,,,,,,,
0.304589708,0.438,761.224634,761.224634,,,,,,,,,,,
0.305072967,0.439,760.9510758,760.9510758,,,,,,,,,,,
0.305555556,0.44,760.677925,760.677925,,,,,,,,,,,
0.306037474,0.441,760.4051807,760.4051807,,,,,,,,,,,
0.306518724,0.442,760.1328421,760.1328421,,,,,,,,,,,
0.306999307,0.443,759.8609082,759.8609082,,,,,,,,,,,
0.307479224,0.444,759.5893781,759.5893781,,,,,,,,,,,
0.307958478,0.445,759.318251,759.318251,,,,,,,,,,,
0.308437068,0.446,759.0475258,759.0475258,,,,,,,,,,,
0.308914997,0.447,758.7772019,758.7772019,,,,,,,,,,,
0.309392265,0.448,758.5072781,758.5072781,,,,,,,,,,,
0.309868875,0.449,758.2377537,758.2377537,,,,,,,,,,,
0.310344828,0.45,757.9686278,757.9686278,,,,,,,,,,,
0.310820124,0.451,757.6998995,757.6998995,,,,,,,,,,,
0.311294766,0.452,757.4315678,757.4315678,,,,,,,,,,,
0.311768754,0.453,757.163632,757.163632,,,,,,,,,,,
0.312242091,0.454,756.8960912,756.8960912,,,,,,,,,,,
0.312714777,0.455,756.6289444,756.6289444,,,,,,,,,,,
0.313186813,0.456,756.3621909,756.3621909,,,,,,,,,,,
0.313658202,0.457,756.0958297,756.0958297,,,,,,,,,,,
0.314128944,0.458,755.82986,755.82986,,,,,,,,,,,
0.31459904,0.459,755.5642809,755.5642809,,,,,,,,,,,
0.315068493,0.46,755.2990915,755.2990915,,,,,,,,,,,
0.315537303,0.461,755.034291,755.034291,,,,,,,,,,,
0.316005472,0.462,754.7698786,754.7698786,,,,,,,,,,,
0.316473001,0.463,754.5058534,754.5058534,,,,,,,,,,,
0.316939891,0.464,754.2422145,754.2422145,,,,,,,,,,,
0.317406143,0.465,753.9789612,753.9789612,,,,,,,,,,,
0.31787176,0.466,753.7160924,753.7160924,,,,,,,,,,,
0.318336742,0.467,753.4536075,753.4536075,,,,,,,,,,,
0.31880109,0.468,753.1915055,753.1915055,,,,,,,,,,,
0.319264806,0.469,752.9297857,752.9297857,,,,,,,,,,,
0.319727891,0.47,752.6684472,752.6684472,,,,,,,,,,,
0.320190347,0.471,752.4074891,752.4074891,,,,,,,,,,,
0.320652174,0.472,752.1469107,752.1469107,,,,,,,,,,,
0.321113374,0.473,751.886711,751.886711,,,,,,,,,,,
0.321573948,0.474,751.6268894,751.6268894,,,,,,,,,,,
0.322033898,0.475,751.3674449,751.3674449,,,,,,,,,,,
0.322493225,0.476,751.1083767,751.1083767,,,,,,,,,,,
0.32295193,0.477,750.8496841,750.8496841,,,,,,,,,,,
0.323410014,0.478,750.5913661,750.5913661,,,,,,,,,,,
0.323867478,0.479,750.3334221,750.3334221,,,,,,,,,,,
0.324324324,0.48,750.0758511,750.0758511,,,,,,,,,,,
0.324780554,0.481,749.8186524,749.8186524,,,,,,,,,,,
0.325236167,0.482,749.5618251,749.5618251,,,,,,,,,,,
0.325691167,0.483,749.3053685,749.3053685,,,,,,,,,,,
0.326145553,0.484,749.0492818,749.0492818,,,,,,,,,,,
0.326599327,0.485,748.7935641,748.7935641,,,,,,,,,,,
0.32705249,0.486,748.5382147,748.5382147,,,,,,,,,,,
0.327505044,0.487,748.2832327,748.2832327,,,,,,,,,,,
0.327956989,0.488,748.0286174,748.0286174,,,,,,,,,,,
0.328408328,0.489,747.774368,747.774368,,,,,,,,,,,
0.32885906,0.49,747.5204837,747.5204837,,,,,,,,,,,
0.329309188,0.491,747.2669637,747.2669637,,,,,,,,,,,
0.329758713,0.492,747.0138072,747.0138072,,,,,,,,,,,
0.330207636,0.493,746.7610134,746.7610134,,,,,,,,,,,
0.330655957,0.494,746.5085816,746.5085816,,,,,,,,,,,
0.331103679,0.495,746.256511,746.256511,,,,,,,,,,,
0.331550802,0.496,746.0048008,746.0048008,,,,,,,,,,,
0.331997328,0.497,745.7534503,745.7534503,,,,,,,,,,,
0.332443258,0.498,745.5024586,745.5024586,,,,,,,,,,,
0.332888592,0.499,745.251825,745.251825,,,,,,,,,,,
0.333333333,0.5,745.0015488,745.0015488,,,,,,,,,,,
0.333777482,0.501,744.7516291,744.7516291,,,,,,,,,,,
0.334221039,0.502,744.5020652,744.5020652,,,,,,,,,,,
0.334664005,0.503,744.2528564,744.2528564,,,,,,,,,,,
0.335106383,0.504,744.0040019,744.0040019,,,,,,,,,,,
0.335548173,0.505,743.7555009,743.7555009,,,,,,,,,,,
0.335989376,0.506,743.5073527,743.5073527,,,,,,,,,,,
0.336429993,0.507,743.2595565,743.2595565,,,,,,,,,,,
0.336870027,0.508,743.0121116,743.0121116,,,,,,,,,,,
0.337309476,0.509,742.7650173,742.7650173,,,,,,,,,,,
0.337748344,0.51,742.5182727,742.5182727,,,,,,,,,,,
0.338186631,0.511,742.2718773,742.2718773,,,,,,,,,,,
0.338624339,0.512,742.0258301,742.0258301,,,,,,,,,,,
0.339061467,0.513,741.7801305,741.7801305,,,,,,,,,,,
0.339498018,0.514,741.5347777,741.5347777,,,,,,,,,,,
0.339933993,0.515,741.289771,741.289771,,,,,,,,,,,
0.340369393,0.516,741.0451097,741.0451097,,,,,,,,,,,
0.340804219,0.517,740.8007931,740.8007931,,,,,,,,,,,
0.341238472,0.518,740.5568204,740.5568204,,,,,,,,,,,
0.341672153,0.519,740.3131908,740.3131908,,,,,,,,,,,
0.342105263,0.52,740.0699037,740.0699037,,,,,,,,,,,
0.342537804,0.521,739.8269584,739.8269584,,,,,,,,,,,
0.342969777,0.522,739.5843541,739.5843541,,,,,,,,,,,
0.343401182,0.523,739.3420901,739.3420901,,,,,,,,,,,
0.343832021,0.524,739.1001657,739.1001657,,,,,,,,,,,
0.344262295,0.525,738.8585802,738.8585802,,,,,,,,,,,
0.344692005,0.526,738.6173328,738.6173328,,,,,,,,,,,
0.345121153,0.527,738.3764229,738.3764229,,,,,,,,,,,
0.345549738,0.528,738.1358497,738.1358497,,,,,,,,,,,
0.345977763,0.529,737.8956126,737.8956126,,,,,,,,,,,
0.346405229,0.53,737.6557109,737.6557109,,,,,,,,,,,
0.346832136,0.531,737.4161437,737.4161437,,,,,,,,,,,
0.347258486,0.532,737.1769105,737.1769105,,,,,,,,,,,
0.347684279,0.533,736.9380106,736.9380106,,,,,,,,,,,
0.348109518,0.534,736.6994432,736.6994432,,,,,,,,,,,
0.348534202,0.535,736.4612076,736.4612076,,,,,,,,,,,
0.348958333,0.536,736.2233032,736.2233032,,,,,,,,,,,
0.349381913,0.537,735.9857293,735.9857293,,,,,,,,,,,
0.349804941,0.538,735.7484852,735.7484852,,,,,,,,,,,
0.35022742,0.539,735.5115701,735.5115701,,,,,,,,,,,
0.350649351,0.54,735.2749835,735.2749835,,,,,,,,,,,
0.351070733,0.541,735.0387246,735.0387246,,,,,,,,,,,
0.351491569,0.542,734.8027927,734.8027927,,,,,,,,,,,
0.35191186,0.543,734.5671872,734.5671872,,,,,,,,,,,
0.352331606,0.544,734.3319074,734.3319074,,,,,,,,,,,
0.352750809,0.545,734.0969527,734.0969527,,,,,,,,,,,
0.35316947,0.546,733.8623222,733.8623222,,,,,,,,,,,
0.353587589,0.547,733.6280155,733.6280155,,,,,,,,,,,
0.354005168,0.548,733.3940317,733.3940317,,,,,,,,,,,
0.354422208,0.549,733.1603703,733.1603703,,,,,,,,,,,
0.35483871,0.55,732.9270305,732.9270305,,,,,,,,,,,
0.355254674,0.551,732.6940118,732.6940118,,,,,,,,,,,
0.355670103,0.552,732.4613134,732.4613134,,,,,,,,,,,
0.356084997,0.553,732.2289347,732.2289347,,,,,,,,,,,
0.356499356,0.554,731.996875,731.996875,,,,,,,,,,,
0.356913183,0.555,731.7651337,731.7651337,,,,,,,,,,,
0.357326478,0.556,731.5337101,731.5337101,,,,,,,,,,,
0.357739242,0.557,731.3026036,731.3026036,,,,,,,,,,,
0.358151476,0.558,731.0718135,731.0718135,,,,,,,,,,,
0.358563182,0.559,730.8413391,730.8413391,,,,,,,,,,,
0.358974359,0.56,730.6111799,730.6111799,,,,,,,,,,,
0.35938501,0.561,730.3813351,730.3813351,,,,,,,,,,,
0.359795134,0.562,730.1518042,730.1518042,,,,,,,,,,,
0.360204734,0.563,729.9225864,729.9225864,,,,,,,,,,,
0.360613811,0.564,729.6936812,729.6936812,,,,,,,,,,,
0.361022364,0.565,729.4650879,729.4650879,,,,,,,,,,,
0.361430396,0.566,729.2368058,729.2368058,,,,,,,,,,,
0.361837907,0.567,729.0088344,729.0088344,,,,,,,,,,,
0.362244898,0.568,728.781173,728.781173,,,,,,,,,,,
0.36265137,0.569,728.5538209,728.5538209,,,,,,,,,,,
0.363057325,0.57,728.3267776,728.3267776,,,,,,,,,,,
0.363462763,0.571,728.1000424,728.1000424,,,,,,,,,,,
0.363867684,0.572,727.8736147,727.8736147,,,,,,,,,,,
0.364272092,0.573,727.6474938,727.6474938,,,,,,,,,,,
0.364675985,0.574,727.4216791,727.4216791,,,,,,,,,,,
0.365079365,0.575,727.1961701,727.1961701,,,,,,,,,,,
0.365482234,0.576,726.9709661,726.9709661,,,,,,,,,,,
0.365884591,0.577,726.7460664,726.7460664,,,,,,,,,,,
0.366286439,0.578,726.5214705,726.5214705,,,,,,,,,,,
0.366687777,0.579,726.2971777,726.2971777,,,,,,,,,,,
0.367088608,0.58,726.0731874,726.0731874,,,,,,,,,,,
0.367488931,0.581,725.8494991,725.8494991,,,,,,,,,,,
0.367888748,0.582,725.6261121,725.6261121,,,,,,,,,,,
0.368288061,0.583,725.4030257,725.4030257,,,,,,,,,,,
0.368686869,0.584,725.1802395,725.1802395,,,,,,,,,,,
0.369085174,0.585,724.9577527,724.9577527,,,,,,,,,,,
0.369482976,0.586,724.7355649,724.7355649,,,,,,,,,,,
0.369880277,0.587,724.5136753,724.5136753,,,,,,,,,,,
0.370277078,0.588,724.2920834,724.2920834,,,,,,,,,,,
0.370673379,0.589,724.0707885,724.0707885,,,,,,,,,,,
0.371069182,0.59,723.8497902,723.8497902,,,,,,,,,,,
0.371464488,0.591,723.6290877,723.6290877,,,,,,,,,,,
0.371859296,0.592,723.4086805,723.4086805,,,,,,,,,,,
0.37225361,0.593,723.1885681,723.1885681,,,,,,,,,,,
0.372647428,0.594,722.9687497,722.9687497,,,,,,,,,,,
0.373040752,0.595,722.7492249,722.7492249,,,,,,,,,,,
0.373433584,0.596,722.529993,722.529993,,,,,,,,,,,
0.373825924,0.597,722.3110534,722.3110534,,,,,,,,,,,
0.374217772,0.598,722.0924057,722.0924057,,,,,,,,,,,
0.374609131,0.599,721.8740491,721.8740491,,,,,,,,,,,
0.375,0.6,721.6559831,721.6559831,,,,,,,,,,,
0.375390381,0.601,721.4382071,721.4382071,,,,,,,,,,,
0.375780275,0.602,721.2207205,721.2207205,,,,,,,,,,,
0.376169682,0.603,721.0035229,721.0035229,,,,,,,,,,,
0.376558603,0.604,720.7866135,720.7866135,,,,,,,,,,,
0.37694704,0.605,720.5699918,720.5699918,,,,,,,,,,,
0.377334994,0.606,720.3536573,720.3536573,,,,,,,,,,,
0.377722464,0.607,720.1376094,720.1376094,,,,,,,,,,,
0.378109453,0.608,719.9218474,719.9218474,,,,,,,,,,,
0.37849596,0.609,719.7063709,719.7063709,,,,,,,,,,,
0.378881988,0.61,719.4911793,719.4911793,,,,,,,,,,,
0.379267536,0.611,719.276272,719.276272,,,,,,,,,,,
0.379652605,0.612,719.0616484,719.0616484,,,,,,,,,,,
0.380037198,0.613,718.847308,718.847308,,,,,,,,,,,
0.380421314,0.614,718.6332503,718.6332503,,,,,,,,,,,
0.380804954,0.615,718.4194745,718.4194745,,,,,,,,,,,
0.381188119,0.616,718.2059803,718.2059803,,,,,,,,,,,
0.38157081,0.617,717.9927671,717.9927671,,,,,,,,,,,
0.381953028,0.618,717.7798343,717.7798343,,,,,,,,,,,
0.382334775,0.619,717.5671812,717.5671812,,,,,,,,,,,
0.382716049,0.62,717.3548075,717.3548075,,,,,,,,,,,
0.383096854,0.621,717.1427126,717.1427126,,,,,,,,,,,
0.383477189,0.622,716.9308958,716.9308958,,,,,,,,,,,
0.383857055,0.623,716.7193567,716.7193567,,,,,,,,,,,
0.384236453,0.624,716.5080946,716.5080946,,,,,,,,,,,
0.384615385,0.625,716.2971092,716.2971092,,,,,,,,,,,
0.38499385,0.626,716.0863997,716.0863997,,,,,,,,,,,
0.38537185,0.627,715.8759657,715.8759657,,,,,,,,,,,
0.385749386,0.628,715.6658067,715.6658067,,,,,,,,,,,
0.386126458,0.629,715.4559221,715.4559221,,,,,,,,,,,
0.386503067,0.63,715.2463113,715.2463113,,,,,,,,,,,
0.386879215,0.631,715.0369738,715.0369738,,,,,,,,,,,
0.387254902,0.632,714.8279091,714.8279091,,,,,,,,,,,
0.387630129,0.633,714.6191167,714.6191167,,,,,,,,,,,
0.388004896,0.634,714.410596,714.410596,,,,,,,,,,,
0.388379205,0.635,714.2023465,714.2023465,,,,,,,,,,,
0.388753056,0.636,713.9943677,713.9943677,,,,,,,,,,,
0.389126451,0.637,713.786659,713.786659,,,,,,,,,,,
0.389499389,0.638,713.5792199,713.5792199,,,,,,,,,,,
0.389871873,0.639,713.3720499,713.3720499,,,,,,,,,,,
0.390243902,0.64,713.1651485,713.1651485,,,,,,,,,,,
0.390615478,0.641,712.9585151,712.9585151,,,,,,,,,,,
0.390986602,0.642,712.7521492,712.7521492,,,,,,,,,,,
0.391357273,0.643,712.5460503,712.5460503,,,,,,,,,,,
0.391727494,0.644,712.340218,712.340218,,,,,,,,,,,
0.392097264,0.645,712.1346515,712.1346515,,,,,,,,,,,
0.392466586,0.646,711.9293506,711.9293506,,,,,,,,,,,
0.392835458,0.647,711.7243146,711.7243146,,,,,,,,,,,
0.393203883,0.648,711.519543,711.519543,,,,,,,,,,,
0.393571862,0.649,711.3150353,711.3150353,,,,,,,,,,,
0.393939394,0.65,711.110791,711.110791,,,,,,,,,,,
0.394306481,0.651,710.9068097,710.9068097,,,,,,,,,,,
0.394673123,0.652,710.7030907,710.7030907,,,,,,,,,,,
0.395039322,0.653,710.4996336,710.4996336,,,,,,,,,,,
0.395405079,0.654,710.2964379,710.2964379,,,,,,,,,,,
0.395770393,0.655,710.093503,710.093503,,,,,,,,,,,
0.396135266,0.656,709.8908285,709.8908285,,,,,,,,,,,
0.396499698,0.657,709.688414,709.688414,,,,,,,,,,,
0.396863691,0.658,709.4862587,709.4862587,,,,,,,,,,,
0.397227245,0.659,709.2843624,709.2843624,,,,,,,,,,,
0.397590361,0.66,709.0827244,709.0827244,,,,,,,,,,,
0.39795304,0.661,708.8813443,708.8813443,,,,,,,,,,,
0.398315283,0.662,708.6802216,708.6802216,,,,,,,,,,,
0.39867709,0.663,708.4793558,708.4793558,,,,,,,,,,,
0.399038462,0.664,708.2787464,708.2787464,,,,,,,,,,,
0.399399399,0.665,708.0783929,708.0783929,,,,,,,,,,,
0.399759904,0.666,707.8782949,707.8782949,,,,,,,,,,,
0.400119976,0.667,707.6784518,707.6784518,,,,,,,,,,,
0.400479616,0.668,707.4788631,707.4788631,,,,,,,,,,,
0.400838826,0.669,707.2795284,707.2795284,,,,,,,,,,,
0.401197605,0.67,707.0804471,707.0804471,,,,,,,,,,,
0.401555955,0.671,706.8816189,706.8816189,,,,,,,,,,,
0.401913876,0.672,706.6830432,706.6830432,,,,,,,,,,,
0.402271369,0.673,706.4847195,706.4847195,,,,,,,,,,,
0.402628435,0.674,706.2866473,706.2866473,,,,,,,,,,,
0.402985075,0.675,706.0888263,706.0888263,,,,,,,,,,,
0.403341289,0.676,705.8912558,705.8912558,,,,,,,,,,,
0.403697078,0.677,705.6939354,705.6939354,,,,,,,,,,,
0.404052443,0.678,705.4968647,705.4968647,,,,,,,,,,,
0.404407385,0.679,705.3000432,705.3000432,,,,,,,,,,,
0.404761905,0.68,705.1034704,705.1034704,,,,,,,,,,,
0.405116002,0.681,704.9071458,704.9071458,,,,,,,,,,,
0.405469679,0.682,704.7110689,704.7110689,,,,,,,,,,,
0.405822935,0.683,704.5152394,704.5152394,,,,,,,,,,,
0.406175772,0.684,704.3196567,704.3196567,,,,,,,,,,,
0.40652819,0.685,704.1243203,704.1243203,,,,,,,,,,,
0.40688019,0.686,703.9292298,703.9292298,,,,,,,,,,,
0.407231772,0.687,703.7343848,703.7343848,,,,,,,,,,,
0.407582938,0.688,703.5397847,703.5397847,,,,,,,,,,,
0.407933689,0.689,703.3454291,703.3454291,,,,,,,,,,,
0.408284024,0.69,703.1513176,703.1513176,,,,,,,,,,,
0.408633944,0.691,702.9574497,702.9574497,,,,,,,,,,,
0.408983452,0.692,702.7638248,702.7638248,,,,,,,,,,,
0.409332546,0.693,702.5704427,702.5704427,,,,,,,,,,,
0.409681228,0.694,702.3773027,702.3773027,,,,,,,,,,,
0.410029499,0.695,702.1844046,702.1844046,,,,,,,,,,,
0.410377358,0.696,701.9917477,701.9917477,,,,,,,,,,,
0.410724808,0.697,701.7993317,701.7993317,,,,,,,,,,,
0.411071849,0.698,701.607156,701.607156,,,,,,,,,,,
0.411418481,0.699,701.4152204,701.4152204,,,,,,,,,,,
0.411764706,0.7,701.2235242,701.2235242,,,,,,,,,,,
0.412110523,0.701,701.0822546,701.0822546,,,,,,,,,,,
0.412455934,0.702,700.9411637,700.9411637,,,,,,,,,,,
0.41280094,0.703,700.8002512,700.8002512,,,,,,,,,,,
0.41314554,0.704,700.6595167,700.6595167,,,,,,,,,,,
0.413489736,0.705,700.5189599,700.5189599,,,,,,,,,,,
0.413833529,0.706,700.3785804,700.3785804,,,,,,,,,,,
0.414176919,0.707,700.2383779,700.2383779,,,,,,,,,,,
0.414519906,0.708,700.0983521,700.0983521,,,,,,,,,,,
0.414862493,0.709,699.9585026,699.9585026,,,,,,,,,,,
0.415204678,0.71,699.8188291,699.8188291,,,,,,,,,,,
0.415546464,0.711,699.6793313,699.6793313,,,,,,,,,,,
0.41588785,0.712,699.5400089,699.5400089,,,,,,,,,,,
0.416228838,0.713,699.4008615,699.4008615,,,,,,,,,,,
0.416569428,0.714,699.2618887,699.2618887,,,,,,,,,,,
0.416909621,0.715,699.1230903,699.1230903,,,,,,,,,,,
0.417249417,0.716,698.9844659,698.9844659,,,,,,,,,,,
0.417588818,0.717,698.8460152,698.8460152,,,,,,,,,,,
0.417927823,0.718,698.7077379,698.7077379,,,,,,,,,,,
0.418266434,0.719,698.5696337,698.5696337,,,,,,,,,,,
0.418604651,0.72,698.4317021,698.4317021,,,,,,,,,,,
0.418942475,0.721,698.293943,698.293943,,,,,,,,,,,
0.419279907,0.722,698.1563559,698.1563559,,,,,,,,,,,
0.419616947,0.723,698.0189406,698.0189406,,,,,,,,,,,
0.419953596,0.724,697.8816967,697.8816967,,,,,,,,,,,
0.420289855,0.725,697.744624,697.744624,,,,,,,,,,,
0.420625724,0.726,697.607722,697.607722,,,,,,,,,,,
0.420961204,0.727,697.4709905,697.4709905,,,,,,,,,,,
0.421296296,0.728,697.3344291,697.3344291,,,,,,,,,,,
0.421631001,0.729,697.1980376,697.1980376,,,,,,,,,,,
0.421965318,0.73,697.0618156,697.0618156,,,,,,,,,,,
0.422299249,0.731,696.9257628,696.9257628,,,,,,,,,,,
0.422632794,0.732,696.7898789,696.7898789,,,,,,,,,,,
0.422965955,0.733,696.6541636,696.6541636,,,,,,,,,,,
0.423298731,0.734,696.5186166,696.5186166,,,,,,,,,,,
0.423631124,0.735,696.3832375,696.3832375,,,,,,,,,,,
0.423963134,0.736,696.248026,696.248026,,,,,,,,,,,
0.424294761,0.737,696.1129818,696.1129818,,,,,,,,,,,
0.424626007,0.738,695.9781047,695.9781047,,,,,,,,,,,
0.424956872,0.739,695.8433943,695.8433943,,,,,,,,,,,
0.425287356,0.74,695.7088502,695.7088502,,,,,,,,,,,
0.425617461,0.741,695.5744723,695.5744723,,,,,,,,,,,
0.425947187,0.742,695.4402601,695.4402601,,,,,,,,,,,
0.426276535,0.743,695.3062134,695.3062134,,,,,,,,,,,
0.426605505,0.744,695.1723319,695.1723319,,,,,,,,,,,
0.426934097,0.745,695.0386152,695.0386152,,,,,,,,,,,
0.427262314,0.746,694.9050632,694.9050632,,,,,,,,,,,
0.427590155,0.747,694.7716753,694.7716753,,,,,,,,,,,
0.42791762,0.748,694.6384514,694.6384514,,,,,,,,,,,
0.428244711,0.749,694.5053912,694.5053912,,,,,,,,,,,
0.428571429,0.75,694.3724943,694.3724943,,,,,,,,,,,
0.428897773,0.751,694.2397605,694.2397605,,,,,,,,,,,
0.429223744,0.752,694.1071894,694.1071894,,,,,,,,,,,
0.429549344,0.753,693.9747807,693.9747807,,,,,,,,,,,
0.429874572,0.754,693.8425342,693.8425342,,,,,,,,,,,
0.43019943,0.755,693.7104496,693.7104496,,,,,,,,,,,
0.430523918,0.756,693.5785265,693.5785265,,,,,,,,,,,
0.430848036,0.757,693.4467647,693.4467647,,,,,,,,,,,
0.431171786,0.758,693.3151639,693.3151639,,,,,,,,,,,
0.431495168,0.759,693.1837237,693.1837237,,,,,,,,,,,
0.431818182,0.76,693.0524439,693.0524439,,,,,,,,,,,
0.432140829,0.761,692.9213241,692.9213241,,,,,,,,,,,
0.43246311,0.762,692.7903642,692.7903642,,,,,,,,,,,
0.432785026,0.763,692.6595638,692.6595638,,,,,,,,,,,
0.433106576,0.764,692.5289225,692.5289225,,,,,,,,,,,
0.433427762,0.765,692.3984402,692.3984402,,,,,,,,,,,
0.433748584,0.766,692.2681166,692.2681166,,,,,,,,,,,
0.434069044,0.767,692.1379512,692.1379512,,,,,,,,,,,
0.43438914,0.768,692.0079439,692.0079439,,,,,,,,,,,
0.434708875,0.769,691.8780944,691.8780944,,,,,,,,,,,
0.435028249,0.77,691.7484023,691.7484023,,,,,,,,,,,
0.435347261,0.771,691.6188674,691.6188674,,,,,,,,,,,
0.435665914,0.772,691.4894895,691.4894895,,,,,,,,,,,
0.435984208,0.773,691.3602681,691.3602681,,,,,,,,,,,
0.436302142,0.774,691.2312031,691.2312031,,,,,,,,,,,
0.436619718,0.775,691.1022941,691.1022941,,,,,,,,,,,
0.436936937,0.776,690.9735409,690.9735409,,,,,,,,,,,
0.437253799,0.777,690.8449432,690.8449432,,,,,,,,,,,
0.437570304,0.778,690.7165007,690.7165007,,,,,,,,,,,
0.437886453,0.779,690.5882131,690.5882131,,,,,,,,,,,
0.438202247,0.78,690.4600802,690.4600802,,,,,,,,,,,
0.438517687,0.781,690.3321016,690.3321016,,,,,,,,,,,
0.438832772,0.782,690.2042771,690.2042771,,,,,,,,,,,
0.439147504,0.783,690.0766064,690.0766064,,,,,,,,,,,
0.439461883,0.784,689.9490892,689.9490892,,,,,,,,,,,
0.43977591,0.785,689.8217253,689.8217253,,,,,,,,,,,
0.440089586,0.786,689.6945144,689.6945144,,,,,,,,,,,
0.44040291,0.787,689.5674562,689.5674562,,,,,,,,,,,
0.440715884,0.788,689.4405504,689.4405504,,,,,,,,,,,
0.441028508,0.789,689.3137967,689.3137967,,,,,,,,,,,
0.441340782,0.79,689.1871949,689.1871949,,,,,,,,,,,
0.441652708,0.791,689.0607448,689.0607448,,,,,,,,,,,
0.441964286,0.792,688.9344459,688.9344459,,,,,,,,,,,
0.442275516,0.793,688.8082981,688.8082981,,,,,,,,,,,
0.442586399,0.794,688.6823012,688.6823012,,,,,,,,,,,
0.442896936,0.795,688.5564547,688.5564547,,,,,,,,,,,
0.443207127,0.796,688.4307585,688.4307585,,,,,,,,,,,
0.443516973,0.797,688.3052122,688.3052122,,,,,,,,,,,
0.443826474,0.798,688.1798157,688.1798157,,,,,,,,,,,
0.444135631,0.799,688.0545687,688.0545687,,,,,,,,,,,
0.444444444,0.8,687.9294708,687.9294708,,,,,,,,,,,
0.444752915,0.801,687.8045218,687.8045218,,,,,,,,,,,
0.445061043,0.802,687.6797214,687.6797214,,,,,,,,,,,
0.44536883,0.803,687.5550695,687.5550695,,,,,,,,,,,
0.445676275,0.804,687.4305657,687.4305657,,,,,,,,,,,
0.44598338,0.805,687.3062097,687.3062097,,,,,,,,,,,
0.446290144,0.806,687.1820013,687.1820013,,,,,,,,,,,
0.446596569,0.807,687.0579402,687.0579402,,,,,,,,,,,
0.446902655,0.808,686.9340262,686.9340262,,,,,,,,,,,
0.447208402,0.809,686.8102591,686.8102591,,,,,,,,,,,
0.447513812,0.81,686.6866384,686.6866384,,,,,,,,,,,
