x,R,m,model,,,,,,,,,
0.071494893,0.077,46.31678191,46.40423269,,,,,,,,,
0.072356215,0.078,46.54191203,46.62001265,,,,,,,,,
0.073215941,0.079,46.76774036,46.8360932,,,,,,,,,
0.074074074,0.08,46.99422897,47.05243941,,,,,,,,,
0.07493062,0.081,47.22133979,47.26901654,,,,,,,,,
0.075785582,0.082,47.44903454,47.48579004,,,,,,,,,
0.076638966,0.083,47.67727476,47.70272553,,,,,,,,,
0.077490775,0.084,47.9060218,47.91978887,,,,,,,,,
0.078341014,0.085,48.13523688,48.13694606,,,,,,,,,
0.079189687,0.086,48.36488101,48.35416332,,,,,,,,,
0.080036799,0.087,48.59491508,48.57140708,,,,,,,,,
0.080882353,0.088,48.8252998,48.78864396,,,,,,,,,
0.081726354,0.089,49.05599573,49.00584076,,,,,,,,,
0.082568807,0.09,49.28696332,49.22296453,,,,,,,,,
0.083409716,0.091,49.51816284,49.4399825,,,,,,,,,
0.084249084,0.092,49.74955445,49.6568621,,,,,,,,,
0.085086917,0.093,49.9810982,49.87357099,,,,,,,,,
0.085923218,0.094,50.21275398,50.09007705,,,,,,,,,
0.086757991,0.095,50.4444816,50.30634834,,,,,,,,,
0.087591241,0.096,50.67624075,50.52235318,,,,,,,,,
0.088422972,0.097,50.90799101,50.73806008,,,,,,,,,
0.089253188,0.098,51.13969187,50.95343777,,,,,,,,,
0.090081893,0.099,51.37130274,51.16845524,,,,,,,,,
0.090909091,0.1,51.60278294,51.38308165,,,,,,,,,
0.091734787,0.101,51.83409168,51.59728643,,,,,,,,,
0.092558984,0.102,52.06518816,51.81103923,,,,,,,,,
0.093381686,0.103,52.29603146,52.02430991,,,,,,,,,
0.094202899,0.104,52.52658064,52.2370686,,,,,,,,,
0.095022624,0.105,52.75679469,52.44928564,,,,,,,,,
0.095840868,0.106,52.98663255,52.66093162,,,,,,,,,
0.096657633,0.107,53.21605313,52.87197735,,,,,,,,,
0.097472924,0.108,53.44501531,53.08239391,,,,,,,,,
0.098286745,0.109,53.67347795,53.2921526,,,,,,,,,
0.099099099,0.11,53.90139989,53.501225,,,,,,,,,
0.099909991,0.111,54.12873996,53.70958288,,,,,,,,,
0.100719424,0.112,54.35545697,53.91719833,,,,,,,,,
0.101527403,0.113,54.58150978,54.12404365,,,,,,,,,
0.102333932,0.114,54.80685722,54.3300914,,,,,,,,,
0.103139013,0.115,55.03145816,54.53531441,,,,,,,,,
0.103942652,0.116,55.2552715,54.73968576,,,,,,,,,
0.104744852,0.117,55.47825618,54.94317879,,,,,,,,,
0.105545617,0.118,55.70037116,55.14576712,,,,,,,,,
0.106344951,0.119,55.92157549,55.34742461,,,,,,,,,
0.107142857,0.12,56.14182825,55.54812541,,,,,,,,,
0.10793934,0.121,56.36108861,55.74784394,,,,,,,,,
0.108734403,0.122,56.57931581,55.94655489,,,,,,,,,
0.10952805,0.123,56.79646918,56.14423321,,,,,,,,,
0.110320285,0.124,57.01250813,56.34085415,,,,,,,,,
0.111111111,0.125,57.2273922,56.53639325,,,,,,,,,
0.111900533,0.126,57.44108103,56.73082627,,,,,,,,,
0.112688554,0.127,57.65353437,56.92412934,,,,,,,,,
0.113475177,0.128,57.86471212,57.11627881,,,,,,,,,
0.114260407,0.129,58.07457431,57.30725136,,,,,,,,,
0.115044248,0.13,58.28308112,57.49702393,,,,,,,,,
0.115826702,0.131,58.4901929,57.68557378,,,,,,,,,
0.116607774,0.132,58.69587013,57.87287845,,,,,,,,,
0.117387467,0.133,58.90007353,58.05891578,,,,,,,,,
0.118165785,0.134,59.10276394,58.24366392,,,,,,,,,
0.118942731,0.135,59.30390244,58.42710129,,,,,,,,,
0.11971831,0.136,59.5034503,58.60920666,,,,,,,,,
0.120492524,0.137,59.70136901,58.78995908,,,,,,,,,
0.121265378,0.138,59.89762027,58.96933789,,,,,,,,,
0.122036874,0.139,60.09216603,59.14732279,,,,,,,,,
0.122807018,0.14,60.28496848,59.32389374,,,,,,,,,
0.123575811,0.141,60.47599006,59.49903104,,,,,,,,,
0.124343257,0.142,60.66519348,59.67271531,,,,,,,,,
0.125109361,0.143,60.8525417,59.84492747,,,,,,,,,
0.125874126,0.144,61.03799801,60.01564877,,,,,,,,,
0.126637555,0.145,61.22152593,60.18486077,,,,,,,,,
0.127399651,0.146,61.40308934,60.35254538,,,,,,,,,
0.128160418,0.147,61.58265239,60.5186848,,,,,,,,,
0.128919861,0.148,61.76017958,60.68326157,,,,,,,,,
0.129677981,0.149,61.93563573,60.84625856,,,,,,,,,
0.130434783,0.15,62.10898599,61.00765897,,,,,,,,,
0.131190269,0.151,62.28019588,61.16744631,,,,,,,,,
0.131944444,0.152,62.44923126,61.32560445,,,,,,,,,
0.132697311,0.153,62.61605838,61.48211757,,,,,,,,,
0.133448873,0.154,62.78064386,61.63697019,,,,,,,,,
0.134199134,0.155,62.9429547,61.79014718,,,,,,,,,
0.134948097,0.156,63.10295831,61.94163372,,,,,,,,,
0.135695765,0.157,63.2606225,62.09141534,,,,,,,,,
0.136442142,0.158,63.4159155,62.2394779,,,,,,,,,
