x,R,m,model,,,,,,,,,
0.297259311,0.423,60.26907019,65.68525946,,,,,,,,,
0.297752809,0.424,60.50656814,65.71410772,,,,,,,,,
0.298245614,0.425,60.74108144,65.74277428,,,,,,,,,
0.298737728,0.426,60.97253927,65.77125918,,,,,,,,,
0.299229152,0.427,61.20087245,65.7995625,,,,,,,,,
0.299719888,0.428,61.4260134,65.8276843,,,,,,,,,
0.300209937,0.429,61.64789622,65.85562466,,,,,,,,,
0.300699301,0.43,61.86645667,65.88338363,,,,,,,,,
0.30118798,0.431,62.0816322,65.9109613,,,,,,,,,
0.301675978,0.432,62.29336193,65.93835775,,,,,,,,,
0.302163294,0.433,62.5015867,65.96557304,,,,,,,,,
0.30264993,0.434,62.70624906,65.99260726,,,,,,,,,
0.303135889,0.435,62.90729328,66.01946049,,,,,,,,,
0.30362117,0.436,63.10466536,66.04613283,,,,,,,,,
0.304105776,0.437,63.29831304,66.07262435,,,,,,,,,
0.304589708,0.438,63.48818576,66.09893514,,,,,,,,,
0.305072967,0.439,63.67423473,66.12506531,,,,,,,,,
0.305555556,0.44,63.85641288,66.15101493,,,,,,,,,
0.306037474,0.441,64.03467489,66.17678412,,,,,,,,,
0.306518724,0.442,64.20897716,66.20237296,,,,,,,,,
0.306999307,0.443,64.37927784,66.22778156,,,,,,,,,
0.307479224,0.444,64.54553678,66.25301002,,,,,,,,,
0.307958478,0.445,64.70771559,66.27805845,,,,,,,,,
0.308437068,0.446,64.86577758,66.30292695,,,,,,,,,
0.308914997,0.447,65.01968777,66.32761564,,,,,,,,,
0.309392265,0.448,65.1694129,66.35212463,,,,,,,,,
0.309868875,0.449,65.31492139,66.37645403,,,,,,,,,
0.310344828,0.45,65.45618339,66.40060395,,,,,,,,,
0.310820124,0.451,65.59317068,66.42457453,,,,,,,,,
0.311294766,0.452,65.72585676,66.44836587,,,,,,,,,
0.311768754,0.453,65.85421675,66.4719781,,,,,,,,,
0.312242091,0.454,65.97822746,66.49541135,,,,,,,,,
0.312714777,0.455,66.09786733,66.51866573,,,,,,,,,
0.313186813,0.456,66.2131164,66.54174139,,,,,,,,,
0.313658202,0.457,66.32395638,66.56463845,,,,,,,,,
0.314128944,0.458,66.43037054,66.58735704,,,,,,,,,
0.31459904,0.459,66.53234377,66.60989731,,,,,,,,,
0.315068493,0.46,66.62986252,66.63225938,,,,,,,,,
0.315537303,0.461,66.7229148,66.6544434,,,,,,,,,
0.316005472,0.462,66.81149021,66.67644951,,,,,,,,,
0.316473001,0.463,66.89557984,66.69827784,,,,,,,,,
0.316939891,0.464,66.97517633,66.71992856,,,,,,,,,
0.317406143,0.465,67.05027381,66.7414018,,,,,,,,,
0.31787176,0.466,67.12086791,66.76269771,,,,,,,,,
0.318336742,0.467,67.18695574,66.78381645,,,,,,,,,
0.31880109,0.468,67.24853586,66.80475816,,,,,,,,,
0.319264806,0.469,67.30560828,66.82552301,,,,,,,,,
0.319727891,0.47,67.35817442,66.84611114,,,,,,,,,
0.320190347,0.471,67.40623714,66.86652273,,,,,,,,,
0.320652174,0.472,67.44980068,66.88675792,,,,,,,,,
0.321113374,0.473,67.48887064,66.90681689,,,,,,,,,
0.321573948,0.474,67.523454,66.92669979,,,,,,,,,
0.322033898,0.475,67.55355908,66.94640679,,,,,,,,,
0.322493225,0.476,67.57919551,66.96593807,,,,,,,,,
0.32295193,0.477,67.60037423,66.98529378,,,,,,,,,
0.323410014,0.478,67.61710748,67.00447411,,,,,,,,,
0.323867478,0.479,67.62940876,67.02347923,,,,,,,,,
0.324324324,0.48,67.6372928,67.04230931,,,,,,,,,
0.324780554,0.481,67.64077561,67.06096453,,,,,,,,,
0.325236167,0.482,67.63987437,67.07944506,,,,,,,,,
0.325691167,0.483,67.63460746,67.0977511,,,,,,,,,
0.326145553,0.484,67.62499446,67.11588282,,,,,,,,,
0.326599327,0.485,67.61105608,67.1338404,,,,,,,,,
0.32705249,0.486,67.59281417,67.15162404,,,,,,,,,
0.327505044,0.487,67.57029171,67.16923392,,,,,,,,,
0.327956989,0.488,67.54351275,67.18667023,,,,,,,,,
0.328408328,0.489,67.51250244,67.20393316,,,,,,,,,
0.32885906,0.49,67.47728699,67.2210229,,,,,,,,,
0.329309188,0.491,67.4378936,67.23793965,,,,,,,,,
0.329758713,0.492,67.39435055,67.25468361,,,,,,,,,
0.330207636,0.493,67.34668707,67.27125497,,,,,,,,,
0.330655957,0.494,67.29493337,67.28765394,,,,,,,,,
0.331103679,0.495,67.23912063,67.30388071,,,,,,,,,
0.331550802,0.496,67.17928095,67.31993548,,,,,,,,,
0.331997328,0.497,67.11544735,67.33581847,,,,,,,,,
0.332443258,0.498,67.04765372,67.35152988,,,,,,,,,
0.332888592,0.499,66.97593485,67.36706991,,,,,,,,,
0.333333333,0.5,66.90032635,67.38243877,,,,,,,,,
0.333777482,0.501,66.82086467,67.39763669,,,,,,,,,
0.334221039,0.502,66.73758707,67.41266385,,,,,,,,,
0.334664005,0.503,66.65053158,67.4275205,,,,,,,,,
0.335106383,0.504,66.55973701,67.44220683,,,,,,,,,
0.335548173,0.505,66.4652429,67.45672306,,,,,,,,,
0.335989376,0.506,66.3670895,67.47106942,,,,,,,,,
0.336429993,0.507,66.26531778,67.48524612,,,,,,,,,
0.336870027,0.508,66.15996937,67.49925339,,,,,,,,,
0.337309476,0.509,66.05108656,67.51309145,,,,,,,,,
0.337748344,0.51,65.93871227,67.52676051,,,,,,,,,
0.338186631,0.511,65.82289003,67.54026082,,,,,,,,,
0.338624339,0.512,65.70366397,67.55359259,,,,,,,,,
0.339061467,0.513,65.58107878,67.56675606,,,,,,,,,
0.339498018,0.514,65.45517968,67.57975145,,,,,,,,,
0.339933993,0.515,65.32601244,67.592579,,,,,,,,,
0.340369393,0.516,65.19362333,67.60523894,,,,,,,,,
0.340804219,0.517,65.05805909,67.61773151,,,,,,,,,
0.341238472,0.518,64.91936692,67.63005693,,,,,,,,,
0.341672153,0.519,64.77759446,67.64221545,,,,,,,,,
0.342105263,0.52,64.63278978,67.65420732,,,,,,,,,
0.342537804,0.521,64.48500134,67.66603276,,,,,,,,,
0.342969777,0.522,64.33427796,67.67769201,,,,,,,,,
0.343401182,0.523,64.18066882,67.68918533,,,,,,,,,
0.343832021,0.524,64.02422346,67.70051296,,,,,,,,,
0.344262295,0.525,63.86499171,67.71167514,,,,,,,,,
0.344692005,0.526,63.70302367,67.7226721,,,,,,,,,
0.345121153,0.527,63.53836976,67.73350413,,,,,,,,,
0.345549738,0.528,63.37108061,67.74417144,,,,,,,,,
0.345977763,0.529,63.20120712,67.7546743,,,,,,,,,
0.346405229,0.53,63.02880035,67.76501295,,,,,,,,,
0.346832136,0.531,62.8539116,67.77518767,,,,,,,,,
0.347258486,0.532,62.67659232,67.78519868,,,,,,,,,
0.347684279,0.533,62.49689411,67.79504626,,,,,,,,,
0.348109518,0.534,62.31486871,67.80473065,,,,,,,,,
0.348534202,0.535,62.13056798,67.81425212,,,,,,,,,
0.348958333,0.536,61.94404386,67.82361093,,,,,,,,,
0.349381913,0.537,61.75534838,67.83280732,,,,,,,,,
0.349804941,0.538,61.56453362,67.84184159,,,,,,,,,
0.35022742,0.539,61.37165172,67.85071396,,,,,,,,,
0.350649351,0.54,61.17675483,67.85942473,,,,,,,,,
0.351070733,0.541,60.97989509,67.86797414,,,,,,,,,
0.351491569,0.542,60.78112466,67.87636247,,,,,,,,,
0.35191186,0.543,60.58049567,67.88458998,,,,,,,,,
0.352331606,0.544,60.37806016,67.89265695,,,,,,,,,
0.352750809,0.545,60.17387017,67.90056363,,,,,,,,,
0.35316947,0.546,59.96797763,67.90831031,,,,,,,,,
0.353587589,0.547,59.76043438,67.91589726,,,,,,,,,
0.354005168,0.548,59.55129217,67.92332474,,,,,,,,,
0.354422208,0.549,59.34060259,67.93059304,,,,,,,,,
0.35483871,0.55,59.12841713,67.93770241,,,,,,,,,
0.355254674,0.551,58.91478711,67.94465316,,,,,,,,,
0.355670103,0.552,58.69976368,67.95144555,,,,,,,,,
0.356084997,0.553,58.48339783,67.95807985,,,,,,,,,
0.356499356,0.554,58.26574033,67.96455636,,,,,,,,,
0.356913183,0.555,58.04684177,67.97087534,,,,,,,,,
0.357326478,0.556,57.82675249,67.97703709,,,,,,,,,
0.357739242,0.557,57.60552262,67.98304187,,,,,,,,,
0.358151476,0.558,57.38320203,67.98888999,,,,,,,,,
0.358563182,0.559,57.15984036,67.99458172,,,,,,,,,
0.358974359,0.56,56.93548696,68.00011733,,,,,,,,,
0.35938501,0.561,56.71019089,68.00549715,,,,,,,,,
0.359795134,0.562,56.48400094,68.01072142,,,,,,,,,
0.360204734,0.563,56.2569656,68.01579046,,,,,,,,,
0.360613811,0.564,56.02913305,68.02070454,,,,,,,,,
0.361022364,0.565,55.80055112,68.02546396,,,,,,,,,
0.361430396,0.566,55.57126734,68.03006902,,,,,,,,,
0.361837907,0.567,55.3413289,68.03451999,,,,,,,,,
0.362244898,0.568,55.11078263,68.03881718,,,,,,,,,
0.36265137,0.569,54.87967499,68.04296087,,,,,,,,,
0.363057325,0.57,54.6480521,68.04695138,,,,,,,,,
0.363462763,0.571,54.4159597,68.05078898,,,,,,,,,
0.363867684,0.572,54.18344313,68.05447397,,,,,,,,,
0.364272092,0.573,53.95054735,68.05800666,,,,,,,,,
0.364675985,0.574,53.71731695,68.06138734,,,,,,,,,
0.365079365,0.575,53.48379607,68.06461631,,,,,,,,,
0.365482234,0.576,53.25002848,68.06769387,,,,,,,,,
0.365884591,0.577,53.01605751,68.07062032,,,,,,,,,
0.366286439,0.578,52.78192608,68.07339596,,,,,,,,,
0.366687777,0.579,52.54767668,68.07602111,,,,,,,,,
0.367088608,0.58,52.31335135,68.07849605,,,,,,,,,
0.367488931,0.581,52.07899173,68.08082108,,,,,,,,,
0.367888748,0.582,51.84463898,68.08299653,,,,,,,,,
0.368288061,0.583,51.61033382,68.08502269,,,,,,,,,
0.368686869,0.584,51.37611653,68.08689987,,,,,,,,,
0.369085174,0.585,51.14202693,68.08862838,,,,,,,,,
0.369482976,0.586,50.90810436,68.09020851,,,,,,,,,
0.369880277,0.587,50.67438772,68.0916406,,,,,,,,,
0.370277078,0.588,50.44091544,68.09292493,,,,,,,,,
0.370673379,0.589,50.20772546,68.09406183,,,,,,,,,
0.371069182,0.59,49.97485526,68.09505159,,,,,,,,,
0.371464488,0.591,49.74234183,68.09589455,,,,,,,,,
0.371859296,0.592,49.51022171,68.096591,,,,,,,,,
0.37225361,0.593,49.27853092,68.09714125,,,,,,,,,
0.372647428,0.594,49.04730502,68.09754564,,,,,,,,,
0.373040752,0.595,48.81657907,68.09780446,,,,,,,,,
0.373433584,0.596,48.58638766,68.09791803,,,,,,,,,
0.373825924,0.597,48.35676486,68.09788667,,,,,,,,,
0.374217772,0.598,48.12774427,68.09771069,,,,,,,,,
0.374609131,0.599,47.899359,68.09739042,,,,,,,,,
0.375,0.6,47.67164165,68.09692615,,,,,,,,,
0.375390381,0.601,47.44462434,68.09631823,,,,,,,,,
0.375780275,0.602,47.21833867,68.09556698,,,,,,,,,
0.376169682,0.603,46.99281576,68.09467268,,,,,,,,,
0.376558603,0.604,46.76808624,68.09363569,,,,,,,,,
0.37694704,0.605,46.54418022,68.0924563,,,,,,,,,
0.377334994,0.606,46.32112732,68.09113486,,,,,,,,,
0.377722464,0.607,46.09895667,68.08967168,,,,,,,,,
0.378109453,0.608,45.87769689,68.08806707,,,,,,,,,
0.37849596,0.609,45.6573761,68.08632137,,,,,,,,,
0.378881988,0.61,45.43802193,68.0844349,,,,,,,,,
0.379267536,0.611,45.2196615,68.08240797,,,,,,,,,
0.379652605,0.612,45.00232143,68.08024093,,,,,,,,,
0.380037198,0.613,44.78602786,68.07793408,,,,,,,,,
0.380421314,0.614,44.5708064,68.07548776,,,,,,,,,
0.380804954,0.615,44.3566822,68.0729023,,,,,,,,,
0.381188119,0.616,44.14367989,68.07017801,,,,,,,,,
0.38157081,0.617,43.9318236,68.06731523,,,,,,,,,
0.381953028,0.618,43.72113699,68.06431428,,,,,,,,,
0.382334775,0.619,43.5116432,68.0611755,,,,,,,,,
0.382716049,0.62,43.30336488,68.05789921,,,,,,,,,
0.383096854,0.621,43.0963242,68.05448573,,,,,,,,,
0.383477189,0.622,42.89054284,68.05093541,,,,,,,,,
0.383857055,0.623,42.68604197,68.04724857,,,,,,,,,
0.384236453,0.624,42.4828423,68.04342554,,,,,,,,,
0.384615385,0.625,42.28096403,68.03946665,,,,,,,,,
0.38499385,0.626,42.08042688,68.03537223,,,,,,,,,
0.38537185,0.627,41.88125009,68.03114262,,,,,,,,,
0.385749386,0.628,41.68345243,68.02677814,,,,,,,,,
0.386126458,0.629,41.48705215,68.02227914,,,,,,,,,
0.386503067,0.63,41.29206707,68.01764593,,,,,,,,,
0.386879215,0.631,41.0985145,68.01287887,,,,,,,,,
0.387254902,0.632,40.90641128,68.00797827,,,,,,,,,
0.387630129,0.633,40.71577379,68.00294448,,,,,,,,,
0.388004896,0.634,40.52661792,67.99777783,,,,,,,,,
0.388379205,0.635,40.3389591,67.99247866,,,,,,,,,
0.388753056,0.636,40.15281229,67.98704729,,,,,,,,,
0.389126451,0.637,39.96819199,67.98148407,,,,,,,,,
0.389499389,0.638,39.78511223,67.97578933,,,,,,,,,
0.389871873,0.639,39.60358658,67.96996341,,,,,,,,,
0.390243902,0.64,39.42362815,67.96400665,,,,,,,,,
0.390615478,0.641,39.2452496,67.95791937,,,,,,,,,
0.390986602,0.642,39.06846313,67.95170193,,,,,,,,,
0.391357273,0.643,38.89328049,67.94535466,,,,,,,,,
0.391727494,0.644,38.71971297,67.93887789,,,,,,,,,
0.392097264,0.645,38.54777143,67.93227196,,,,,,,,,
0.392466586,0.646,38.37746629,67.92553723,,,,,,,,,
0.392835458,0.647,38.2088075,67.918674,,,,,,,,,
0.393203883,0.648,38.04180459,67.91168265,,,,,,,,,
0.393571862,0.649,37.87646666,67.9045635,,,,,,,,,
0.393939394,0.65,37.71280236,67.89731689,,,,,,,,,
0.394306481,0.651,37.55081992,67.88994315,,,,,,,,,
0.394673123,0.652,37.39052714,67.88244265,,,,,,,,,
0.395039322,0.653,37.2319314,67.87481571,,,,,,,,,
0.395405079,0.654,37.07503964,67.86706265,,,,,,,,,
0.395770393,0.655,36.91985839,67.85918387,,,,,,,,,
0.396135266,0.656,36.76639379,67.85117965,,,,,,,,,
0.396499698,0.657,36.61465152,67.84305037,,,,,,,,,
0.396863691,0.658,36.46463689,67.83479636,,,,,,,,,
0.397227245,0.659,36.31635477,67.82641797,,,,,,,,,
0.397590361,0.66,36.16980967,67.81791552,,,,,,,,,
0.39795304,0.661,36.02500565,67.80928937,,,,,,,,,
0.398315283,0.662,35.8819464,67.80053987,,,,,,,,,
0.39867709,0.663,35.74063524,67.79166735,,,,,,,,,
0.399038462,0.664,35.60107504,67.78267215,,,,,,,,,
0.399399399,0.665,35.46326834,67.77355462,,,,,,,,,
0.399759904,0.666,35.32721727,67.7643151,,,,,,,,,
0.400119976,0.667,35.19292358,67.75495395,,,,,,,,,
0.400479616,0.668,35.06038865,67.74547149,,,,,,,,,
0.400838826,0.669,34.9296135,67.73586808,,,,,,,,,
0.401197605,0.67,34.80059876,67.72614406,,,,,,,,,
0.401555955,0.671,34.6733447,67.71629977,,,,,,,,,
0.401913876,0.672,34.54785124,67.70633556,,,,,,,,,
0.402271369,0.673,34.42411793,67.69625176,,,,,,,,,
0.402628435,0.674,34.30214399,67.68604875,,,,,,,,,
0.402985075,0.675,34.18192825,67.67572683,,,,,,,,,
0.403341289,0.676,34.06346924,67.66528637,,,,,,,,,
0.403697078,0.677,33.94676512,67.65472773,,,,,,,,,
0.404052443,0.678,33.83181371,67.64405122,,,,,,,,,
0.404407385,0.679,33.71861253,67.63325721,,,,,,,,,
0.404761905,0.68,33.60715873,67.62234603,,,,,,,,,
0.405116002,0.681,33.49744916,67.61131804,,,,,,,,,
0.405469679,0.682,33.38948033,67.60017358,,,,,,,,,
0.405822935,0.683,33.28324846,67.58891298,,,,,,,,,
0.406175772,0.684,33.17874944,67.57753662,,,,,,,,,
0.40652819,0.685,33.07597885,67.56604482,,,,,,,,,
0.40688019,0.686,32.97493198,67.55443792,,,,,,,,,
0.407231772,0.687,32.87560381,67.54271629,,,,,,,,,
0.407582938,0.688,32.77798901,67.53088026,,,,,,,,,
0.407933689,0.689,32.682082,67.51893019,,,,,,,,,
0.408284024,0.69,32.58787687,67.5068664,,,,,,,,,
0.408633944,0.691,32.49536747,67.49468925,,,,,,,,,
0.408983452,0.692,32.40454733,67.4823991,,,,,,,,,
0.409332546,0.693,32.31540973,67.46999628,,,,,,,,,
0.409681228,0.694,32.22794769,67.45748114,,,,,,,,,
0.410029499,0.695,32.14215396,67.44485402,,,,,,,,,
0.410377358,0.696,32.05802101,67.43211528,,,,,,,,,
0.410724808,0.697,31.97554108,67.41926526,,,,,,,,,
0.411071849,0.698,31.89470615,67.40630429,,,,,,,,,
0.411418481,0.699,31.81550796,67.39323275,,,,,,,,,
0.411764706,0.7,31.73839164,67.38066868,,,,,,,,,
0.412110523,0.701,31.66734166,67.3715868,,,,,,,,,
0.412455934,0.702,31.59783331,67.36243717,,,,,,,,,
0.41280094,0.703,31.52986211,67.35322001,,,,,,,,,
0.41314554,0.704,31.46342332,67.34393557,,,,,,,,,
0.413489736,0.705,31.39851199,67.33458405,,,,,,,,,
0.413833529,0.706,31.33512294,67.32516569,,,,,,,,,
0.414176919,0.707,31.27325078,67.31568072,,,,,,,,,
0.414519906,0.708,31.21288988,67.30612937,,,,,,,,,
0.414862493,0.709,31.15403441,67.29651185,,,,,,,,,
0.415204678,0.71,31.09667832,67.2868284,,,,,,,,,
0.415546464,0.711,31.04081534,67.27707924,,,,,,,,,
0.41588785,0.712,30.98643899,67.26726461,,,,,,,,,
0.416228838,0.713,30.93354261,67.25738472,,,,,,,,,
0.416569428,0.714,30.8821193,67.24743978,,,,,,,,,
0.416909621,0.715,30.83216198,67.23743007,,,,,,,,,
0.417249417,0.716,30.78366336,67.22735574,,,,,,,,,
0.417588818,0.717,30.73661597,67.21721707,,,,,,,,,
0.417927823,0.718,30.69101212,67.20701426,,,,,,,,,
0.418266434,0.719,30.64684397,67.19674754,,,,,,,,,
0.418604651,0.72,30.60410344,67.18641712,,,,,,,,,
0.418942475,0.721,30.56278231,67.17602325,,,,,,,,,
0.419279907,0.722,30.52287215,67.16556612,,,,,,,,,
0.419616947,0.723,30.48436439,67.15504596,,,,,,,,,
0.419953596,0.724,30.44725023,67.144463,,,,,,,,,
0.420289855,0.725,30.41152072,67.13381746,,,,,,,,,
0.420625724,0.726,30.37716678,67.12310956,,,,,,,,,
0.420961204,0.727,30.34417909,67.11233951,,,,,,,,,
0.421296296,0.728,30.31254822,67.10150753,,,,,,,,,
0.421631001,0.729,30.28226457,67.09061386,,,,,,,,,
0.421965318,0.73,30.25331837,67.07965869,,,,,,,,,
0.422299249,0.731,30.22569969,67.06864226,,,,,,,,,
0.422632794,0.732,30.19939848,67.05756478,,,,,,,,,
0.422965955,0.733,30.1744045,67.04642646,,,,,,,,,
0.423298731,0.734,30.1507074,67.03522753,,,,,,,,,
0.423631124,0.735,30.12829667,67.02396821,,,,,,,,,
0.423963134,0.736,30.10716167,67.0126487,,,,,,,,,
0.424294761,0.737,30.08729161,67.00126922,,,,,,,,,
0.424626007,0.738,30.06867558,66.98982999,,,,,,,,,
0.424956872,0.739,30.05130254,66.97833123,,,,,,,,,
0.425287356,0.74,30.03516133,66.96677315,,,,,,,,,
0.425617461,0.741,30.02024064,66.95515596,,,,,,,,,
0.425947187,0.742,30.00652906,66.94347989,,,,,,,,,
0.426276535,0.743,29.99401507,66.93174511,,,,,,,,,
0.426605505,0.744,29.98268703,66.9199519,,,,,,,,,
0.426934097,0.745,29.97253318,66.90810043,,,,,,,,,
0.427262314,0.746,29.96354166,66.89619091,,,,,,,,,
0.427590155,0.747,29.95570051,66.88422357,,,,,,,,,
0.42791762,0.748,29.94899767,66.87219861,,,,,,,,,
0.428244711,0.749,29.94342097,66.86011624,,,,,,,,,
0.428571429,0.75,29.93895817,66.84797669,,,,,,,,,
0.428897773,0.751,29.9355969,66.83578015,,,,,,,,,
0.429223744,0.752,29.93332474,66.82352684,,,,,,,,,
0.429549344,0.753,29.93212916,66.81121696,,,,,,,,,
0.429874572,0.754,29.93199757,66.79885073,,,,,,,,,
0.43019943,0.755,29.93291728,66.78642836,,,,,,,,,
0.430523918,0.756,29.93487554,66.77395005,,,,,,,,,
0.430848036,0.757,29.93785952,66.76141602,,,,,,,,,
0.431171786,0.758,29.94185631,66.74882645,,,,,,,,,
0.431495168,0.759,29.94685298,66.73618159,,,,,,,,,
0.431818182,0.76,29.95283646,66.72348161,,,,,,,,,
0.432140829,0.761,29.9597937,66.71072673,,,,,,,,,
0.43246311,0.762,29.96771153,66.69791715,,,,,,,,,
0.432785026,0.763,29.97657677,66.6850531,,,,,,,,,
0.433106576,0.764,29.98637616,66.67213477,,,,,,,,,
0.433427762,0.765,29.99709642,66.65916234,,,,,,,,,
0.433748584,0.766,30.00872419,66.64613606,,,,,,,,,
0.434069044,0.767,30.02124609,66.63305609,,,,,,,,,
0.43438914,0.768,30.03464871,66.61992267,,,,,,,,,
0.434708875,0.769,30.04891858,66.60673598,,,,,,,,,
0.435028249,0.77,30.06404221,66.59349623,,,,,,,,,
0.435347261,0.771,30.08000608,66.58020364,,,,,,,,,
0.435665914,0.772,30.09679664,66.56685838,,,,,,,,,
0.435984208,0.773,30.11440032,66.55346068,,,,,,,,,
0.436302142,0.774,30.13280352,66.54001072,,,,,,,,,
0.436619718,0.775,30.15199262,66.52650871,,,,,,,,,
0.436936937,0.776,30.171954,66.51295484,,,,,,,,,
0.437253799,0.777,30.19267401,66.49934936,,,,,,,,,
0.437570304,0.778,30.21413899,66.48569238,,,,,,,,,
0.437886453,0.779,30.23633529,66.47198418,,,,,,,,,
0.438202247,0.78,30.25924922,66.45822492,,,,,,,,,
0.438517687,0.781,30.28286712,66.44441482,,,,,,,,,
0.438832772,0.782,30.30717532,66.43055405,,,,,,,,,
0.439147504,0.783,30.33216014,66.41664282,,,,,,,,,
0.439461883,0.784,30.35780792,66.40268134,,,,,,,,,
0.43977591,0.785,30.38410501,66.3886698,,,,,,,,,
0.440089586,0.786,30.41103775,66.37460839,,,,,,,,,
0.44040291,0.787,30.43859251,66.3604973,,,,,,,,,
0.440715884,0.788,30.46675566,66.34633676,,,,,,,,,
0.441028508,0.789,30.4955136,66.33212692,,,,,,,,,
0.441340782,0.79,30.52485276,66.317868,,,,,,,,,
0.441652708,0.791,30.55475956,66.30356018,,,,,,,,,
0.441964286,0.792,30.58522046,66.28920368,,,,,,,,,
0.442275516,0.793,30.61622196,66.27479869,,,,,,,,,
0.442586399,0.794,30.64775057,66.26034536,,,,,,,,,
0.442896936,0.795,30.67979283,66.24584393,,,,,,,,,
0.443207127,0.796,30.71233533,66.23129458,,,,,,,,,
0.443516973,0.797,30.74536469,66.2166975,,,,,,,,,
0.443826474,0.798,30.77886755,66.20205287,,,,,,,,,
0.444135631,0.799,30.8128306,66.18736089,,,,,,,,,
0.444444444,0.8,30.84724059,66.17262176,,,,,,,,,
0.444752915,0.801,30.88208429,66.15783566,,,,,,,,,
0.445061043,0.802,30.91734852,66.14300278,,,,,,,,,
0.44536883,0.803,30.95302014,66.12812333,,,,,,,,,
0.445676275,0.804,30.98908609,66.11319745,,,,,,,,,
0.44598338,0.805,31.02553333,66.09822539,,,,,,,,,
0.446290144,0.806,31.06234888,66.0832073,,,,,,,,,
0.446596569,0.807,31.09951982,66.06814336,,,,,,,,,
0.446902655,0.808,31.13703329,66.05303379,,,,,,,,,
0.447208402,0.809,31.17487648,66.03787876,,,,,,,,,
0.447513812,0.81,31.21303663,66.02267846,,,,,,,,,
0.447818885,0.811,31.25150109,66.00743307,,,,,,,,,
0.44812362,0.812,31.29025721,65.99214278,,,,,,,,,
0.44842802,0.813,31.32929244,65.97680778,,,,,,,,,
0.448732084,0.814,31.3685943,65.96142824,,,,,,,,,
0.449035813,0.815,31.40815036,65.94600437,,,,,,,,,
0.449339207,0.816,31.44794828,65.93053634,,,,,,,,,
0.449642267,0.817,31.48797576,65.91502432,,,,,,,,,
0.449944994,0.818,31.52822062,65.89946853,,,,,,,,,
0.450247389,0.819,31.56867071,65.88386911,,,,,,,,,
0.450549451,0.82,31.60931398,65.86822627,,,,,,,,,
0.450851181,0.821,31.65013845,65.85254019,,,,,,,,,
0.45115258,0.822,31.69113221,65.83681105,,,,,,,,,
0.451453648,0.823,31.73228346,65.82103902,,,,,,,,,
0.451754386,0.824,31.77358044,65.8052243,,,,,,,,,
0.452054795,0.825,31.8150115,65.78936705,,,,,,,,,
0.452354874,0.826,31.85656507,65.77346748,,,,,,,,,
0.452654625,0.827,31.89822965,65.75752572,,,,,,,,,
0.452954048,0.828,31.93999384,65.74154201,,,,,,,,,
0.453253144,0.829,31.98184632,65.72551649,,,,,,,,,
0.453551913,0.83,32.02377587,65.70944935,,,,,,,,,
0.453850355,0.831,32.06577135,65.69334076,,,,,,,,,
0.454148472,0.832,32.10782169,65.67719092,,,,,,,,,
0.454446263,0.833,32.14991596,65.66099996,,,,,,,,,
0.45474373,0.834,32.19204326,65.64476812,,,,,,,,,
0.455040872,0.835,32.23419285,65.62849553,,,,,,,,,
0.455337691,0.836,32.27635403,65.6121824,,,,,,,,,
0.455634186,0.837,32.31851623,65.59582887,,,,,,,,,
0.455930359,0.838,32.36066894,65.57943514,,,,,,,,,
0.45622621,0.839,32.40280178,65.56300137,,,,,,,,,
0.456521739,0.84,32.44490445,65.54652775,,,,,,,,,
0.456816947,0.841,32.48696676,65.53001445,,,,,,,,,
0.457111835,0.842,32.52897861,65.51346164,,,,,,,,,
0.457406403,0.843,32.57092999,65.4968695,,,,,,,,,
0.457700651,0.844,32.61281102,65.48023818,,,,,,,,,
0.45799458,0.845,32.65461188,65.46356788,,,,,,,,,
0.458288191,0.846,32.6963229,65.44685875,,,,,,,,,
0.458581483,0.847,32.73793446,65.430111,,,,,,,,,
0.458874459,0.848,32.77943708,65.41332475,,,,,,,,,
0.459167117,0.849,32.82082138,65.39650021,,,,,,,,,
0.459459459,0.85,32.86207806,65.37963754,,,,,,,,,
0.459751486,0.851,32.90319795,65.3627369,,,,,,,,,
0.460043197,0.852,32.94417199,65.34579847,,,,,,,,,
0.460334593,0.853,32.98499117,65.32882242,,,,,,,,,
0.460625674,0.854,33.02564666,65.3118089,,,,,,,,,
0.460916442,0.855,33.06612969,65.2947581,,,,,,,,,
0.461206897,0.856,33.10643161,65.2776702,,,,,,,,,
0.461497038,0.857,33.14654388,65.26054533,,,,,,,,,
0.461786868,0.858,33.18645805,65.24338368,,,,,,,,,
0.462076385,0.859,33.2261658,65.22618542,,,,,,,,,
0.462365591,0.86,33.26565891,65.20895071,,,,,,,,,
0.462654487,0.861,33.30492925,65.19167972,,,,,,,,,
0.462943072,0.862,33.34396883,65.17437261,,,,,,,,,
0.463231347,0.863,33.38276975,65.15702954,,,,,,,,,
0.463519313,0.864,33.42132422,65.1396507,,,,,,,,,
0.463806971,0.865,33.45962456,65.12223623,,,,,,,,,
0.464094319,0.866,33.49766318,65.1047863,,,,,,,,,
0.46438136,0.867,33.53543266,65.08730108,,,,,,,,,
0.464668094,0.868,33.57292561,65.06978071,,,,,,,,,
0.464954521,0.869,33.6101348,65.05222541,,,,,,,,,
0.465240642,0.87,33.6470531,65.03463528,,,,,,,,,
0.465526456,0.871,33.68367348,65.01701052,,,,,,,,,
0.465811966,0.872,33.71998903,64.99935127,,,,,,,,,
0.46609717,0.873,33.75599293,64.98165769,,,,,,,,,
